model,accuracy,precision,recall,f1_score,roc_auc
Logistic Regression,0.7477635502543414,0.8778099192814961,0.7477635502543414,0.7892655565642989,0.817931022569764
XGBoost,0.9198386248026662,0.9119407570252092,0.9198386248026662,0.912101239996075,0.9128076009670969
